line,day_4,day_17,height,survive
F2,2.255,49.6,32.5,1
F2,3.01,65.3,14,1
F2,1.563,12.3,26.5,1
F2,1.402,12.3,NA,0
F2,1.263,39.3,10.5,1
F2,1.428,25.8,NA,0
F2,1.501,31.8,8.5,1
F2,1.544,26.9,24,1
F2,1.447,49.4,9.5,1
F2,0.828,37.5,9,1
F2,1.506,28.5,19,1
F2,2.332,34.2,12.5,1
F2,2.474,42.5,17,1
F2,1.676,33.5,16.5,1
F2,2.73,33.2,14.5,1
F2,1.834,29.6,11,1
F2,1.374,32.1,20,1
F2,0.904,11.7,11.5,1
F2,2.241,29.4,14.5,1
F2,2.68,55.3,15.5,1
F2,1.456,30.7,11,1
F2,1.777,30.5,15,1
F2,1.956,37.5,24,1
F2,1.796,21,10,1
F2,2.373,45.3,6.5,1
F2,2.242,17.8,8.5,1
F2,1.42,33,13.5,1
F2,2.043,29.7,14.5,1
F2,1.702,38.3,NA,0
F2,1.435,26.8,NA,0
F2,3.028,43.8,20.5,1
F2,1.011,27.8,17.5,1
F2,2.269,31.2,NA,0
F2,1.9,42.8,8.5,1
F2,2.415,52.1,NA,0
F2,1.311,34.6,11.5,1
F2,1.244,28.1,26,1
F2,0.763,22.8,22.5,1
F2,1.877,26.6,15.6,1
F2,1.651,44.9,21.5,1
F2,1.366,19.7,18.3,1
F2,1.602,13.1,15,1
F2,1.259,19.2,14,1
F2,3.278,28.5,14,1
F2,1.873,38.1,6,1
F2,1.365,44.2,11.5,1
F2,1.816,12.6,13.5,1
F2,1.34,12.4,NA,0
F2,2.133,31.6,NA,0
F2,1.181,13.9,NA,0
F2,2.093,22.4,NA,0
F2,1.322,24.5,NA,0
F2,1.258,19,14,1
F2,1.606,28.1,6.5,1
F2,2.363,49,10.5,1
F2,1.591,42.1,16.5,1
F2,1.521,35.6,25.5,1
F2,1.582,25.1,26,1
F2,1.996,26.2,8,1
F2,3.748,56.4,24.5,1
F2,2.007,51.3,12.5,1
F2,1.037,12.5,13,1
F2,1.394,32.5,9,1
F2,1.702,10.7,14.5,1
F2,1.013,8.5,10,1
F2,2.351,44.7,13.5,1
F2,1.147,8.6,13,1
F2,1.23,40,14,1
F2,2.198,34.1,10,1
F2,1.493,39.3,14.5,1
F2,1.589,17.7,13,1
F2,1.785,22.5,16,1
F2,1.644,36,18,1
F2,1.403,26.2,8,1
F2,1.447,37.8,7.5,1
F2,2.925,52.3,22.5,1
F2,2.393,64,18.5,1
F2,2.538,30.6,19.5,1
F2,1.31,37.6,13,1
F2,1.654,56.8,11.5,1
F2,1.932,31.8,16.5,1
F2,2.157,15.4,NA,0
F2,1.846,75.2,11.5,1
F2,1.138,9.9,NA,0
F2,2.556,16.2,8,1
F2,2.01,48.5,10.5,1
F2,1.34,13.4,8,1
F2,2.064,31.8,9,1
F2,3.175,48.3,20.5,1
F2,2.316,34.2,11,1
F2,1.64,38,10,1
F2,1.126,19.3,NA,0
F2,2.867,66.8,NA,0
F2,0.867,37.6,16.5,1
F2,2.87,75.1,18,1
F2,2.037,48.1,10,1
F2,1.429,44.8,11,1
F2,1.246,21,14,1
F2,2.008,45.6,15.5,1
F2,1.536,13.5,NA,0
F2,1.859,23.7,12.6,1
F2,1.063,24.9,7.3,1
F2,1.374,11.4,12.1,1
F2,1.95,58.8,14.5,1
F2,1.196,46.2,22.5,1
F2,1.881,26.6,8,1
F2,2.488,67.8,10.5,1
F2,1.695,73.7,11.5,1
F2,1.52,14.5,9.5,1
F2,2.141,29,15,1
F2,1.714,45.2,16.5,1
F2,1.777,11.1,19.5,1
F2,0.937,8.8,13,1
F2,2.699,19.8,30.5,1
F2,1.78,32.9,14,1
F2,1.177,13.5,15,1
F2,1.631,45.4,19.5,1
F2,1.327,15.9,11,1
F2,2.001,33.4,8,1
F2,2.248,53.5,12.5,1
F2,2.284,52.4,12.5,1
F2,1.123,12.6,NA,0
F2,1.988,24.4,16.5,1
F2,2.458,26.2,11.5,1
F2,1.289,62.8,10,1
CAL,2.119,39.4,13,1
CAL,2.216,37,15,1
CAL,2.43,58.9,15.5,1
CAL,1.969,46,14,1
CAL,1.871,33.4,12,1
CAL,1.992,39.2,15.5,1
CAL,2.114,40.4,15.5,1
CAL,1.969,44.2,12.5,1
CAL,2.383,44.8,9.6,1
CAL,2.309,46.7,14.5,1
CAL,2.05,34.7,NA,0
CAL,1.569,83.4,15.5,1
CAL,2.128,30.8,16,1
CAL,2.081,67.2,NA,0
CAL,1.309,57.6,9,1
CAL,1.75,38.2,NA,0
CAL,1.936,43.6,11,1
CAL,1.733,30.2,11.7,1
CAL,2.358,62.9,11.5,1
F1,1.75,71.2,10,1
F1,2.491,80.7,7,1
F1,3.062,62.1,16.5,1
F1,2.284,56.9,13.5,1
F1,1.063,52.4,10.5,1
F1,2,62.2,11.5,1
F1,2.6,53,12,1
F1,2.674,62,17,1
F1,1.68,26.1,13,1
F1,1.554,26.1,15.5,1
F1,2.576,52.9,16.5,1
F1,2.239,54.4,12,1
F1,2.655,55.9,9.5,1
F1,2.55,65.1,13.5,1
F1,2.026,75.8,12.5,1
F1,2.247,60.8,11.5,1
LON,1.568,37.6,11.3,1
LON,1.551,61.6,12.4,1
LON,2.041,51,12.7,1
LON,2.468,69.5,14.3,1
LON,1.233,40,9,1
LON,1.841,33.9,10,1
LON,2.775,55.5,10,1
LON,2.023,24.7,23.5,1
LON,2.263,43,19,1
LON,2.497,55.5,8,1
LON,1.338,27.7,11,1
LON,1.171,27.1,12.5,1
LON,1.925,37.1,9.5,1
LON,1.526,26.2,12,1
LON,1.851,32.5,15,1
LON,1.388,33.7,15,1
LON,1.41,22.3,NA,0
LON,1.767,35.4,NA,0
LON,1.467,54.7,NA,0
LON,2.036,32.1,13,1
LON,1.541,37.9,15.5,1
F1,3.731,72.7,12,1
F1,2.43,47.9,12,1
F1,1.402,24.8,13.5,1
F1,1.812,36.8,14,1
F1,2.468,40.1,14,1
F1,1.841,61,12.5,1
F1,1.839,47.8,11.5,1
F1,2.102,42.1,13.5,1
F1,1.847,48.1,14,1
F1,1.913,52.2,17,1
F1,1.945,31.3,13,1
F1,1.425,21.9,15,1
F1,2.005,33,15,1
F1,1.597,4.5,NA,0
F1,1.752,17.9,NA,0
F1,2.004,57.2,NA,0
F1,1.896,39.6,10.5,1
F1,1.758,38.9,12,1
F1,1.517,25.4,10.5,1
F1,2.685,59.1,11.5,1
F1,1.819,62.6,13,1
