coefficient,quant.025,quant.25,mean,quant.75,quant.975,prop_greater_0
$\beta_{rgr}$,0.06,0.52,0.81,1.07,1.68,0.98
$\beta_{size}$,-0.6,-0.18,0.02,0.23,0.63,0.53
