f2,f1,lon,cal,e_f2
1.73290237289941,1.92315175886427,1.62161445724883,2.03569812860775,1.87590402589628
1.79320294464437,2.03523485717782,1.85602490555458,1.96847444801777,1.973742266982
1.7148738040781,2.04115271188817,1.92237117282517,2.08098885596826,2.02141636314244
1.69196912806533,2.04072777498901,1.81931214440743,2.00769821696,1.97711647783636
1.69765759396154,2.02486612407004,1.98419342081127,1.9758526594611,2.00244458210311
1.75179596655512,1.94379333841262,1.99226962731851,1.98247449241228,1.96558269913901
1.7257067381409,2.06750775564507,1.65585725129416,2.02269555940051,1.9533920804962
1.71811616939343,1.94731298198446,1.91719875572839,2.01306540657642,1.95622253156843
1.72811275621437,1.96752182660664,1.79095003948688,2.09512506811359,1.95527969020344
1.77882248651763,2.01491055701149,1.82277177580308,2.08087535826806,1.98336706202353
1.77558988929559,2.02574022042332,1.85068521695282,2.04108947765642,1.98581378386397
1.72505733499181,2.07269680779792,1.77348272649419,2.02124498606842,1.98503033203961
1.7325994671055,2.14891383586941,1.75703709835409,2.05313981081429,2.0270011452268
1.69346595929399,2.18503558638981,1.7062374306597,1.97200322222995,2.01207795641732
1.7091484782706,2.01862552347905,1.9090734472403,1.85622201096125,1.95063662628991
1.77011029749181,2.05821447138118,1.66416869700381,2.02173938045871,1.95058425505622
1.69374178376561,2.09125231587186,1.91412760666737,2.0163670146895,2.02824981327515
1.73599785587732,2.12395957490789,1.84082752337197,1.97883801170127,2.01689617122225
1.72436627795935,1.95293118746116,2.20079676385135,1.94675652842041,2.01335391679852
1.66548360688877,2.14106720206399,1.71793915090864,2.04704920814996,2.01178069079665
1.6925824202905,1.94682293953137,1.73355289786144,2.00125870475851,1.90711437042067
1.70403847814152,2.01331636156655,1.74660552823219,2.0677464207028,1.96024616801702
1.73401964458526,2.18496372223319,1.92847027401998,2.00623841548231,2.07615903349217
1.77328483283594,2.18101465803846,1.88113204903192,2.04312349683351,2.07157121548558
1.70874246998722,2.06765232909341,1.68950140898415,2.05108959129775,1.96897391461718
1.80209561983163,2.05260800431879,1.8122769094396,2.10441066723116,2.00547589632709
1.72108178248983,2.18898825777279,1.82296261779557,1.93325945373636,2.03354964676938
1.7388361324687,2.13052081298797,1.73182840082195,2.07715722675648,2.01750681338859
1.67698512144973,2.09991668452374,1.87905117961089,2.0359110593795,2.02869890200946
1.72396020867837,2.10859145496795,1.67334788432697,2.10773377742422,1.99956614292177
1.75248798048874,2.07122634745742,2.04511074154869,2.09525694607981,2.07070509563584
1.70948454116865,1.91879611440048,1.89276816526924,2.0741286604335,1.95112226362592
1.72783183299839,2.07822653857134,1.69929457789861,1.90663997440793,1.94059690736231
1.72392440013996,1.99034835805244,1.61325950959469,1.97668891013979,1.89266128395984
1.7166344060505,2.1954629208026,1.74979999414158,1.97659611402653,2.02933048744333
1.76519215525599,2.13226430954849,1.7099180019582,2.12556032117463,2.02500173555745
1.75169701119969,2.05059595163808,1.86396519146169,2.0661904487799,2.00783688587944
